,January,Feburary,March,April,May,June,July,August,September,October,November,December
2000,34.107,39.54,45.232,49.885,62.249,67.351,70.762,70.876,62.193,55.617,37.925,28.365
2001,30.745,36.686,40.54,53.471,60.046,66.922,72.915,70.537,61.509,49.013,45.954,35.274
2002,32.844,31.478,38.274,54.646,58.534,67.305,70.203,70.174,62.942,52.627,38.799,34.083
2003,30.822,33.908,41.673,50.494,60.778,65.106,70.641,70.54,60.941,53.258,44.248,32.961
2004,34.342,33.275,48.479,51.3,60.845,66.529,68.958,66.793,62.078,56.863,44.343,32.798
2005,36.434,39.65,41.331,48.589,58.441,67.21,69.398,69.264,65.228,51.413,41.947,30.052
2006,35.539,33.27,45.986,54.666,60.558,66.488,71.167,71.767,59.777,51.585,41.54,34.095
2007,30.127,33.178,48.424,46.923,60.093,66.064,68.5,70.805,64.902,53.011,42.566,32.787
2008,30.27,34.438,41.742,48.412,58.864,68.98,70.014,69.269,60.143,49.706,40.696,31.151
2009,29.572,38.062,43.906,48.494,58.919,68.104,70.691,69.556,61.728,49.3,42.636,29.053
2010,29.523,30.898,39.706,50.658,59.751,70.662,71.52,71.622,65.116,50.554,40.401,33.201
2011,28.186,31.648,44.15,51.957,57.857,71.067,74.972,75.298,61.09,50.79,41.488,33.935
2012,33.899,37.431,49.468,54.98,62.205,68.413,71.713,70.116,62.773,50.132,41.231,34.525
2013,33.636,35.21,39.6,45.654,57.851,68.49,69.306,70.24,65.302,51.763,38.688,29.496
2014,26.995,31.51,37.051,49.059,57.399,68.209,69.24,69.604,64.704,54.291,36.692,38.188
2015,31.117,32.371,42.85,52.665,59.185,67.986,71.682,69.713,65.838,54.558,43.622,36.753
2016,31.793,37.654,45.552,51.409,57.981,68.351,72.622,70.299,65.369,55.916,47.159,34.637
2017,35.751,42.122,47.679,52.051,56.507,67.692,71.175,69.142,63.001,51.012,,
