,January,Feburary,March,April,May,June,July,August,September,October,November,December
2000,60.185,68.324,70.727,76.248,87.314,87.035,96.091,98.79,92.024,76.121,57.976,48.899
2001,50.729,59.645,60.246,77.961,84.242,91.503,97.557,94.174,84.986,76.851,67.844,59.137
2002,58.489,57.827,65.608,77.14,83.687,90.509,91.234,94.226,87.799,70.67,62.657,56.014
2003,55.61,55.652,67.407,78.552,85.631,87.48,94.871,95.602,83.755,79.173,66.792,60.949
2004,57.754,54.79,70.658,74.296,84.702,88.066,91.104,89.435,86.656,78.449,62.497,58.325
2005,58.248,59.215,66.1,75.741,81.157,91.906,93.801,92.401,92.156,77.914,71.289,58.233
2006,66.226,60.334,70.112,82.177,86.814,93.306,96.017,95.952,84.91,77.32,68.587,57.707
2007,49.274,58.364,71.919,70.851,79.789,86.913,88.763,93.27,87.655,81.011,68.072,58.417
2008,56.012,64.158,69.457,76.524,84.519,94.211,94.296,91.583,83.975,77.032,68.499,58.703
2009,59.34,67.423,69.971,75.578,82.204,93.053,94.958,94.548,83.494,71.738,69.457,50.949
2010,53.304,49.301,65.434,75.914,84.119,93.801,91.421,97.365,88.991,80.227,68.105,59.322
2011,54.612,59.431,72.642,83.177,85.542,99.148,100.922,102.652,90.987,78.949,67.19,52.395
2012,61.788,60.148,73.805,81.566,87.139,93.733,95.988,95.895,88.516,75.736,71.644,61.182
2013,56.745,60.853,68.188,74.012,83.707,93.13,92.324,95.522,90.707,77.028,61.846,53.362
2014,56.073,56.028,66.269,76.619,83.692,89.422,91.579,94.081,85.966,80.995,61.278,57.143
2015,52.284,57.055,65.384,76.43,79.504,89.458,94.1,95.096,91.165,79.852,65.863,61.437
2016,55.826,65.876,71.913,76.238,80.484,90.502,97.063,92.006,87.77,82.758,70.715,57.076
2017,58.774,68.913,74.281,77.279,83.009,90.458,95.006,89.502,87.223,78.461,,
