ReleaseDate,FIPS,County,State,Nothing,D0,D1,D2,D3,D4,ValidStart,ValidEnd
10/31/17,48001,Anderson County,TX,60.08,39.92,0,0,0,0,10/31/17,11/6/17
10/31/17,48003,Andrews County,TX,63.2,36.8,0,0,0,0,10/31/17,11/6/17
10/31/17,48005,Angelina County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48007,Aransas County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48009,Archer County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48011,Armstrong County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48013,Atascosa County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48015,Austin County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48017,Bailey County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48019,Bandera County,TX,43.43,56.57,0,0,0,0,10/31/17,11/6/17
10/31/17,48021,Bastrop County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48023,Baylor County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48025,Bee County,TX,99.95,0.05,0,0,0,0,10/31/17,11/6/17
10/31/17,48027,Bell County,TX,54.05,45.95,0,0,0,0,10/31/17,11/6/17
10/31/17,48029,Bexar County,TX,76.92,23.08,0,0,0,0,10/31/17,11/6/17
10/31/17,48031,Blanco County,TX,93.29,6.71,0,0,0,0,10/31/17,11/6/17
10/31/17,48033,Borden County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48035,Bosque County,TX,82.77,17.23,0,0,0,0,10/31/17,11/6/17
10/31/17,48037,Bowie County,TX,0,100,100,0,0,0,10/31/17,11/6/17
10/31/17,48039,Brazoria County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48041,Brazos County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48043,Brewster County,TX,7.48,92.52,0,0,0,0,10/31/17,11/6/17
10/31/17,48045,Briscoe County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48047,Brooks County,TX,64.02,35.98,5.65,0,0,0,10/31/17,11/6/17
10/31/17,48049,Brown County,TX,14.09,85.91,0,0,0,0,10/31/17,11/6/17
10/31/17,48051,Burleson County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48053,Burnet County,TX,80.03,19.97,0,0,0,0,10/31/17,11/6/17
10/31/17,48055,Caldwell County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48057,Calhoun County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48059,Callahan County,TX,98.68,1.32,0,0,0,0,10/31/17,11/6/17
10/31/17,48061,Cameron County,TX,45.92,54.08,8.44,0,0,0,10/31/17,11/6/17
10/31/17,48063,Camp County,TX,0,100,23.66,0,0,0,10/31/17,11/6/17
10/31/17,48065,Carson County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48067,Cass County,TX,0,100,100,0,0,0,10/31/17,11/6/17
10/31/17,48069,Castro County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48071,Chambers County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48073,Cherokee County,TX,24.42,75.58,0,0,0,0,10/31/17,11/6/17
10/31/17,48075,Childress County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48077,Clay County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48079,Cochran County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48081,Coke County,TX,99.21,0.79,0,0,0,0,10/31/17,11/6/17
10/31/17,48083,Coleman County,TX,11.01,88.99,0,0,0,0,10/31/17,11/6/17
10/31/17,48085,Collin County,TX,0,100,0,0,0,0,10/31/17,11/6/17
10/31/17,48087,Collingsworth County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48089,Colorado County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48091,Comal County,TX,73.06,26.94,0,0,0,0,10/31/17,11/6/17
10/31/17,48093,Comanche County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48095,Concho County,TX,7.16,92.84,0,0,0,0,10/31/17,11/6/17
10/31/17,48097,Cooke County,TX,6.89,93.11,0,0,0,0,10/31/17,11/6/17
10/31/17,48099,Coryell County,TX,84.97,15.03,0,0,0,0,10/31/17,11/6/17
10/31/17,48101,Cottle County,TX,73.38,26.62,3.82,0,0,0,10/31/17,11/6/17
10/31/17,48103,Crane County,TX,65.05,34.95,0,0,0,0,10/31/17,11/6/17
10/31/17,48105,Crockett County,TX,28.98,71.02,0,0,0,0,10/31/17,11/6/17
10/31/17,48107,Crosby County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48109,Culberson County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48111,Dallam County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48113,Dallas County,TX,0,100,0,0,0,0,10/31/17,11/6/17
10/31/17,48115,Dawson County,TX,88.89,11.11,0,0,0,0,10/31/17,11/6/17
10/31/17,48117,Deaf Smith County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48119,Delta County,TX,0,100,0,0,0,0,10/31/17,11/6/17
10/31/17,48121,Denton County,TX,0,100,0,0,0,0,10/31/17,11/6/17
10/31/17,48123,DeWitt County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48125,Dickens County,TX,96.29,3.71,0,0,0,0,10/31/17,11/6/17
10/31/17,48127,Dimmit County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48129,Donley County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48131,Duval County,TX,97.7,2.3,0,0,0,0,10/31/17,11/6/17
10/31/17,48133,Eastland County,TX,98.4,1.6,0,0,0,0,10/31/17,11/6/17
10/31/17,48135,Ector County,TX,99.93,0.07,0,0,0,0,10/31/17,11/6/17
10/31/17,48137,Edwards County,TX,99.78,0.22,0,0,0,0,10/31/17,11/6/17
10/31/17,48139,Ellis County,TX,2.98,97.02,0,0,0,0,10/31/17,11/6/17
10/31/17,48141,El Paso County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48143,Erath County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48145,Falls County,TX,16.28,83.72,0,0,0,0,10/31/17,11/6/17
10/31/17,48147,Fannin County,TX,0,100,0,0,0,0,10/31/17,11/6/17
10/31/17,48149,Fayette County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48151,Fisher County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48153,Floyd County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48155,Foard County,TX,4,96,39.63,0,0,0,10/31/17,11/6/17
10/31/17,48157,Fort Bend County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48159,Franklin County,TX,0,100,0,0,0,0,10/31/17,11/6/17
10/31/17,48161,Freestone County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48163,Frio County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48165,Gaines County,TX,1.12,98.88,0,0,0,0,10/31/17,11/6/17
10/31/17,48167,Galveston County,TX,100,0,0,0,0,0,10/31/17,11/6/17
10/31/17,48169,Garza County,TX,100,0,0,0,0,0,10/31/17,11/6/17
