ReleaseDate,None,D0,D1,D2,D3,D4
20171031,71.18,26.3,2.41,0.11,0,0
20171024,80.89,17.37,1.74,0,0,0
20171017,80.83,14.85,4.32,0,0,0
20171010,87.34,9.35,3.31,0,0,0
20171003,86.76,11.04,2.2,0,0,0
20170926,70.54,25.29,4.13,0.04,0,0
20170919,79.27,17.46,2.92,0.35,0,0
20170912,92.45,6.03,1.48,0.04,0,0
20170905,94.84,4.36,0.75,0.04,0,0
20170829,96.14,2.99,0.87,0,0,0
20170822,86.44,11.09,2.47,0,0,0
20170815,89.71,9.05,1.23,0,0,0
20170808,79.97,15.74,4.29,0,0,0
20170801,73.48,16.62,9.17,0.73,0,0
20170725,75.04,15.96,7.73,1.26,0,0
20170718,74.42,17.73,7.39,0.46,0,0
20170711,76.12,17.31,6.57,0,0,0
20170704,73.51,20.48,5.08,0.92,0,0
20170627,76.48,17.54,5.37,0.61,0,0
20170620,72.65,22.5,4.84,0,0,0
20170613,78.23,19.31,2.47,0,0,0
20170606,83.43,15.41,1.16,0,0,0
20170530,65.5,30.8,3.7,0,0,0
20170523,77.7,19.89,2.22,0.19,0,0
20170516,65.58,28.27,4.95,1.2,0,0
20170509,78.86,18.82,2.33,0,0,0
20170502,91.38,7.18,1.44,0,0,0
20170425,90.58,8.08,1.34,0,0,0
20170418,90.3,8.16,1.54,0,0,0
20170411,84.74,13.55,1.7,0.01,0,0
20170404,82.49,14.59,2.91,0.01,0,0
20170328,55.06,36.27,8.26,0.4,0,0
20170321,53.46,37.91,7.7,0.93,0,0
20170314,65.12,30.36,3.58,0.93,0,0
20170307,70.92,24.43,3.72,0.93,0,0
20170228,75.5,20.57,2.92,1.01,0,0
20170221,91.57,6.36,1.25,0.82,0,0
20170214,88.14,8.17,2.42,0.73,0.53,0
20170207,90.56,6.04,2.19,1.03,0.19,0
20170131,92.34,4.25,2.32,1.08,0.01,0
20170124,92.24,4.57,2.11,1.08,0.01,0
20170117,82.78,13.2,3.07,0.79,0.15,0
20170110,74.87,19.1,5.15,0.75,0.14,0
20170103,81.5,12.2,4.33,1.93,0.04,0
20161227,75.85,17.18,5.19,1.74,0.04,0
20161220,79.5,12.98,5.58,1.9,0.04,0
20161213,80.86,11.78,5.42,1.9,0.04,0
20161206,81.9,13.23,4.22,0.62,0.03,0
20161129,66.37,19.44,10.92,3.19,0.08,0
20161122,66.53,18.73,6.82,6.82,1.09,0
20161115,64.98,18.7,8.63,7.06,0.63,0
20161108,64.99,20.98,8.47,5.55,0,0
20161101,59.55,25.58,8.37,6.5,0,0
