ReleaseDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20171128,TX,28.73,36.15,29.61,5.5,0,0,11/28/17,12/4/17,2
20171121,TX,40.02,39.75,16.98,3.25,0,0,11/21/17,11/27/17,2
20171114,TX,54.34,30.4,14.3,0.97,0,0,11/14/17,11/20/17,2
20171107,TX,58.23,32.97,8.24,0.56,0,0,11/7/17,11/13/17,2
20171031,TX,71.18,26.3,2.41,0.11,0,0,10/31/17,11/6/17,2
20171024,TX,80.89,17.37,1.74,0,0,0,10/24/17,10/30/17,2
20171017,TX,80.83,14.85,4.32,0,0,0,10/17/17,10/23/17,2
20171010,TX,87.34,9.35,3.31,0,0,0,10/10/17,10/16/17,2
20171003,TX,86.76,11.04,2.2,0,0,0,10/3/17,10/9/17,2
20170926,TX,70.54,25.29,4.13,0.04,0,0,9/26/17,10/2/17,2
20170919,TX,79.27,17.46,2.92,0.35,0,0,9/19/17,9/25/17,2
20170912,TX,92.45,6.03,1.48,0.04,0,0,9/12/17,9/18/17,2
20170905,TX,94.84,4.36,0.75,0.04,0,0,9/5/17,9/11/17,2
20170829,TX,96.14,2.99,0.87,0,0,0,8/29/17,9/4/17,2
20170822,TX,86.44,11.09,2.47,0,0,0,8/22/17,8/28/17,2
20170815,TX,89.71,9.05,1.23,0,0,0,8/15/17,8/21/17,2
20170808,TX,79.97,15.74,4.29,0,0,0,8/8/17,8/14/17,2
20170801,TX,73.48,16.62,9.17,0.73,0,0,8/1/17,8/7/17,2
20170725,TX,75.04,15.96,7.73,1.26,0,0,7/25/17,7/31/17,2
20170718,TX,74.42,17.73,7.39,0.46,0,0,7/18/17,7/24/17,2
20170711,TX,76.12,17.31,6.57,0,0,0,7/11/17,7/17/17,2
20170704,TX,73.51,20.48,5.08,0.92,0,0,7/4/17,7/10/17,2
20170627,TX,76.48,17.54,5.37,0.61,0,0,6/27/17,7/3/17,2
20170620,TX,72.65,22.5,4.84,0,0,0,6/20/17,6/26/17,2
20170613,TX,78.23,19.31,2.47,0,0,0,6/13/17,6/19/17,2
20170606,TX,83.43,15.41,1.16,0,0,0,6/6/17,6/12/17,2
20170530,TX,65.5,30.8,3.7,0,0,0,5/30/17,6/5/17,2
20170523,TX,77.7,19.89,2.22,0.19,0,0,5/23/17,5/29/17,2
20170516,TX,65.58,28.27,4.95,1.2,0,0,5/16/17,5/22/17,2
20170509,TX,78.86,18.82,2.33,0,0,0,5/9/17,5/15/17,2
20170502,TX,91.38,7.18,1.44,0,0,0,5/2/17,5/8/17,2
20170425,TX,90.58,8.08,1.34,0,0,0,4/25/17,5/1/17,2
20170418,TX,90.3,8.16,1.54,0,0,0,4/18/17,4/24/17,2
20170411,TX,84.74,13.55,1.7,0.01,0,0,4/11/17,4/17/17,2
20170404,TX,82.49,14.59,2.91,0.01,0,0,4/4/17,4/10/17,2
20170328,TX,55.06,36.27,8.26,0.4,0,0,3/28/17,4/3/17,2
20170321,TX,53.46,37.91,7.7,0.93,0,0,3/21/17,3/27/17,2
20170314,TX,65.12,30.36,3.58,0.93,0,0,3/14/17,3/20/17,2
20170307,TX,70.92,24.43,3.72,0.93,0,0,3/7/17,3/13/17,2
20170228,TX,75.5,20.57,2.92,1.01,0,0,2/28/17,3/6/17,2
20170221,TX,91.57,6.36,1.25,0.82,0,0,2/21/17,2/27/17,2
20170214,TX,88.14,8.17,2.42,0.73,0.53,0,2/14/17,2/20/17,2
20170207,TX,90.56,6.04,2.19,1.03,0.19,0,2/7/17,2/13/17,2
20170131,TX,92.34,4.25,2.32,1.08,0.01,0,1/31/17,2/6/17,2
20170124,TX,92.24,4.57,2.11,1.08,0.01,0,1/24/17,1/30/17,2
20170117,TX,82.78,13.2,3.07,0.79,0.15,0,1/17/17,1/23/17,2
20170110,TX,74.87,19.1,5.15,0.75,0.14,0,1/10/17,1/16/17,2
20170103,TX,81.5,12.2,4.33,1.93,0.04,0,1/3/17,1/9/17,2
20161227,TX,75.85,17.18,5.19,1.74,0.04,0,12/27/16,1/2/17,2
20161220,TX,79.5,12.98,5.58,1.9,0.04,0,12/20/16,12/26/16,2
20161213,TX,80.86,11.78,5.42,1.9,0.04,0,12/13/16,12/19/16,2
20161206,TX,81.9,13.23,4.22,0.62,0.03,0,12/6/16,12/12/16,2
20161129,TX,66.37,19.44,10.92,3.19,0.08,0,11/29/16,12/5/16,2
20161122,TX,66.53,18.73,6.82,6.82,1.09,0,11/22/16,11/28/16,2
20161115,TX,64.98,18.7,8.63,7.06,0.63,0,11/15/16,11/21/16,2
20161108,TX,64.99,20.98,8.47,5.55,0,0,11/8/16,11/14/16,2
20161101,TX,59.55,25.58,8.37,6.5,0,0,11/1/16,11/7/16,2
20161025,TX,64.92,24.25,9.74,1.1,0,0,10/25/16,10/31/16,2
20161018,TX,70.53,23.56,5.91,0,0,0,10/18/16,10/24/16,2
20161011,TX,78.07,17.53,4.4,0,0,0,10/11/16,10/17/16,2
20161004,TX,88.04,10.55,1.41,0,0,0,10/4/16,10/10/16,2
20160927,TX,94.83,4.55,0.62,0,0,0,9/27/16,10/3/16,2
20160920,TX,95.44,3.62,0.82,0.12,0,0,9/20/16,9/26/16,2
20160913,TX,96.22,3.11,0.59,0.09,0,0,9/13/16,9/19/16,2
20160906,TX,92.46,6.98,0.57,0,0,0,9/6/16,9/12/16,2
20160830,TX,89.86,7.71,2.26,0.16,0,0,8/30/16,9/5/16,2
20160823,TX,85.07,11.01,3.17,0.74,0,0,8/23/16,8/29/16,2
20160816,TX,71.24,23.45,4.68,0.63,0,0,8/16/16,8/22/16,2
20160809,TX,55.83,34,9.24,0.93,0,0,8/9/16,8/15/16,2
20160802,TX,65.35,28.82,5.18,0.64,0,0,8/2/16,8/8/16,2
20160726,TX,63.03,31.08,5.71,0.18,0,0,7/26/16,8/1/16,2
20160719,TX,86.88,11.46,1.66,0,0,0,7/19/16,7/25/16,2
20160712,TX,93.97,6.03,0,0,0,0,7/12/16,7/18/16,2
20160705,TX,97.07,2.93,0,0,0,0,7/5/16,7/11/16,2
20160628,TX,98.62,1.38,0,0,0,0,6/28/16,7/4/16,2
20160621,TX,98.62,1.38,0,0,0,0,6/21/16,6/27/16,2
20160614,TX,98.62,1.38,0,0,0,0,6/14/16,6/20/16,2
20160607,TX,98.31,1.69,0,0,0,0,6/7/16,6/13/16,2
20160531,TX,98.62,1.38,0,0,0,0,5/31/16,6/6/16,2
20160524,TX,97.3,2.7,0,0,0,0,5/24/16,5/30/16,2
20160517,TX,97.4,2.51,0.09,0,0,0,5/17/16,5/23/16,2
20160510,TX,90.05,9.21,0.73,0,0,0,5/10/16,5/16/16,2
20160503,TX,89.33,9.59,1.08,0,0,0,5/3/16,5/9/16,2
20160426,TX,86.91,10.81,2.01,0.27,0,0,4/26/16,5/2/16,2
20160419,TX,80.58,14.83,4.24,0.35,0,0,4/19/16,4/25/16,2
20160412,TX,74.56,21.37,4.06,0,0,0,4/12/16,4/18/16,2
20160405,TX,74.03,22.02,3.94,0,0,0,4/5/16,4/11/16,2
20160329,TX,75.16,21.88,2.96,0,0,0,3/29/16,4/4/16,2
20160322,TX,85.64,13.67,0.68,0,0,0,3/22/16,3/28/16,2
20160315,TX,88.58,11.3,0.12,0,0,0,3/15/16,3/21/16,2
20160308,TX,69.32,29.21,1.47,0,0,0,3/8/16,3/14/16,2
20160301,TX,75.35,23.56,1.09,0,0,0,3/1/16,3/7/16,2
20160223,TX,77.61,21.59,0.79,0,0,0,2/23/16,2/29/16,2
20160216,TX,55.16,41.27,3.57,0,0,0,2/16/16,2/22/16,2
20160209,TX,88.01,11.99,0,0,0,0,2/9/16,2/15/16,2
20160202,TX,97.66,2.34,0,0,0,0,2/2/16,2/8/16,2
20160126,TX,98.05,1.95,0,0,0,0,1/26/16,2/1/16,2
20160119,TX,98.31,1.69,0,0,0,0,1/19/16,1/25/16,2
20160112,TX,98.31,1.69,0,0,0,0,1/12/16,1/18/16,2
20160105,TX,98.31,1.69,0,0,0,0,1/5/16,1/11/16,2
20151229,TX,95.48,4.52,0,0,0,0,12/29/15,1/4/16,2
20151222,TX,96.07,3.93,0,0,0,0,12/22/15,12/28/15,2
20151215,TX,96.82,3.18,0,0,0,0,12/15/15,12/21/15,2
20151208,TX,97.17,2.83,0,0,0,0,12/8/15,12/14/15,2
